date,open,high,low,close,volume,average,barCount
2023-12-13,31.49,32.02,31.0,32.0,3351756.0,31.480887126577613,21656
2023-12-14,32.66,33.25,32.54,32.82,4215059.0,32.8352888449215,22671
2023-12-15,32.74,32.82,32.1,32.46,3344816.0,32.447792217707196,18016
2023-12-18,33.22,33.41,32.7,32.73,4648778.0,32.916093828795596,23701
2023-12-19,32.68,33.22,32.44,33.07,2961645.0,32.924357974873615,15482
2023-12-20,33.21,33.4,32.57,32.62,2975464.0,33.062093742840794,14949
2023-12-21,32.82,33.02,32.51,33.0,1739674.0,32.78111277618776,10096
2023-12-22,33.23,33.42,32.91,33.02,1847221.0,33.160345257324046,9700
2023-12-26,33.49,34.33,33.47,34.24,2190246.0,34.02165292634545,13958
2023-12-27,34.2,34.73,34.05,34.13,2271469.0,34.32467161587325,14811
2023-12-28,33.97,34.06,33.13,33.15,2456925.0,33.54508716917905,16357
2023-12-29,33.34,33.38,32.84,32.95,2097547.0,32.99047114349788,14589
2024-01-02,33.19,33.64,32.97,33.16,1823642.0,33.296244548385005,11524
2024-01-03,33.03,33.89,32.69,33.75,1968305.0,33.49642053116397,11809
2024-01-04,31.87,32.26,31.19,31.27,14458680.0,31.497415418733702,87630
2024-01-05,31.5,31.66,31.03,31.53,5890779.0,31.31835892037636,32580
2024-01-08,30.84,31.03,30.47,30.97,4978834.0,30.729768071929957,29653
2024-01-09,31.1,31.17,30.21,30.27,3525438.0,30.421239951683486,19602
2024-01-10,30.22,30.22,29.69,29.91,4020700.0,29.906108179486246,23434
2024-01-11,30.15,30.34,29.64,29.81,3139949.0,29.880397502799042,19259
2024-01-12,30.38,30.49,29.66,29.88,3280380.0,29.951101863688855,16001
2024-01-16,29.48,29.57,28.67,28.71,4036153.0,28.997970349356,22183
2024-01-17,28.41,28.76,28.19,28.29,3831952.0,28.409379500909605,20456
2024-01-18,28.28,28.29,27.75,28.17,3767498.0,28.04009465330778,21993
2024-01-19,28.23,28.28,27.73,28.12,5276401.0,28.018801660141307,28801
2024-01-22,28.06,28.62,27.86,28.43,4078163.0,28.363192680051185,22891
2024-01-23,28.27,28.79,28.19,28.56,4304246.0,28.470583428195127,23021
2024-01-24,28.8,29.14,28.5,29.04,4380749.0,28.88255655685076,24271
2024-01-25,29.16,29.67,28.79,29.66,3541589.0,29.257498393042965,19686
2024-01-26,29.69,29.87,29.28,29.73,2954850.0,29.64262383466262,17227
2024-01-29,29.66,29.74,29.06,29.5,3504593.0,29.305639073245427,21148
2024-01-30,29.12,30.07,29.03,30.01,3855717.0,29.67132308632178,24037
2024-01-31,30.05,30.11,28.97,29.0,3769727.0,29.405623562896686,23010
2024-02-01,29.11,29.36,28.34,28.51,4548443.0,28.76683376790255,28132
2024-02-02,28.48,28.48,27.92,28.0,3346635.0,28.186368258538312,19626
2024-02-05,27.79,27.96,27.28,27.6,4261794.0,27.623492613094204,24944
2024-02-06,27.78,28.49,27.61,28.25,3413983.0,28.21136438095112,20302
2024-02-07,28.31,28.57,27.93,28.28,2844174.0,28.2456183264798,18066
2024-02-08,28.32,28.52,28.05,28.21,5118721.0,28.263208190399926,26193
2024-02-09,28.3,28.41,27.59,27.65,4170221.0,27.962328939134572,24638
2024-02-12,27.72,28.55,27.72,28.22,4934556.0,28.33356764608044,28565
2024-02-13,28.13,28.2,27.27,27.43,4555580.0,27.507769824145992,27186
2024-02-14,27.54,28.1,27.45,27.59,4870122.0,27.669781728673488,23243
2024-02-15,27.76,29.13,27.74,28.93,4997833.0,28.670552407497635,29705
2024-02-16,28.88,29.54,28.64,29.23,4245554.0,29.224170229825884,24925
2024-02-20,29.16,29.29,28.64,28.68,4754088.0,28.888111250720275,28926
2024-02-21,28.85,29.62,28.77,29.11,6467746.0,29.251017916861866,41029
2024-02-22,28.88,28.88,27.72,27.98,10591266.0,28.11971193210414,66347
2024-02-23,27.59,28.22,27.38,27.8,6108503.0,27.857715537925383,36333
2024-02-26,27.73,28.07,27.39,27.42,4335219.0,27.5975707083698,24829
2024-02-27,27.63,28.21,27.5,27.96,4629307.0,27.893821048077225,27812
2024-02-28,27.94,28.23,27.51,27.73,3496695.0,27.800317034607065,20280
2024-02-29,27.86,28.05,27.42,27.58,3782145.0,27.656820776311285,19631
2024-03-01,27.97,28.39,27.71,28.15,4368996.0,28.156743224567567,24908
2024-03-04,28.37,28.4,27.75,27.8,4919452.0,28.10212206818401,29393
2024-03-05,27.8,28.42,27.69,28.2,4457070.0,28.221547986378564,26593
2024-03-06,28.62,28.67,28.15,28.36,3605051.0,28.39744662557985,21167
2024-03-07,28.28,28.63,28.16,28.28,3539252.0,28.37152472085545,20324
2024-03-08,28.26,28.82,28.26,28.52,3650675.0,28.589083564078088,20982
2024-03-11,28.33,28.92,28.16,28.88,3317168.0,28.699251659156786,18376
2024-03-12,29.03,29.15,28.61,29.11,3725260.0,28.994576216552634,24046
2024-03-13,29.5,30.46,29.45,30.14,4463416.0,30.138843153672557,27031
2024-03-14,30.32,30.5,29.89,30.06,4846095.0,30.15828458221586,29559
2024-03-15,29.96,30.39,29.5,29.63,6582184.0,29.862960024820023,37031
2024-03-18,29.84,30.43,29.69,29.94,3909771.0,30.125882201310358,24863
2024-03-19,29.99,30.85,29.91,30.68,5113438.0,30.614695261827613,29657
2024-03-20,30.34,31.45,30.2,31.28,3997728.0,30.972973016411274,24146
2024-03-21,31.24,31.59,30.98,31.39,2997833.0,31.267371791495528,19578
2024-03-22,31.34,31.5,30.92,30.98,4562997.0,31.081289546866802,21064
2024-03-25,31.25,32.17,31.12,32.02,5232259.0,31.87561077020733,29063
2024-03-26,31.96,32.22,30.37,30.44,9089605.0,30.9970433565125,54155
2024-03-27,30.3,31.24,30.13,31.21,5749429.0,30.921129206962476,36341
2024-03-28,31.57,32.15,31.39,31.83,10442533.0,31.851540430106102,58442
2024-04-01,32.01,32.86,31.75,32.8,5879569.0,32.46811144962218,32964
2024-04-02,32.92,33.07,32.22,32.72,4786660.0,32.604201449425275,28515
2024-04-03,32.87,33.24,32.28,32.6,7449324.0,32.82083451033634,41574
2024-04-04,32.71,33.19,32.39,32.8,5167450.0,32.84397906812599,32197
2024-04-05,32.69,33.2,32.41,33.09,4357125.0,32.861568932046126,25930
2024-04-08,33.08,33.37,32.34,32.44,4683443.0,32.622717095657,27574
2024-04-09,32.49,32.71,31.97,32.3,5020096.0,32.21166974931294,26480
2024-04-10,31.91,32.57,31.81,32.45,4224410.0,32.18482206227695,26878
2024-04-11,32.62,32.62,31.61,31.85,3406679.0,31.908013151112822,18422
2024-04-12,32.26,32.63,31.14,31.22,5482023.0,31.782106756737164,31040
2024-04-15,31.07,31.37,30.55,30.7,5025507.0,30.941496417817355,30964
2024-04-16,30.36,30.52,29.73,30.09,4451407.0,30.05552274562984,28185
2024-04-17,30.09,30.44,29.75,29.87,4318740.0,29.990717983818843,26191
2024-04-18,29.98,30.32,29.72,30.02,4002449.0,30.016589543016664,23850
2024-04-19,30.0,30.74,30.0,30.19,3344541.0,30.34313062840055,19790
2024-04-22,30.05,30.47,29.64,30.29,3163002.0,30.20225147442065,18426
2024-04-23,29.96,30.21,29.58,29.91,4710908.0,29.98113651088927,26436
2024-04-24,29.84,30.03,29.52,29.9,3407669.0,29.809469197430314,18918
2024-04-25,29.94,30.27,29.42,30.19,3540994.0,29.911163421164154,19313
2024-04-26,30.1,30.41,29.87,30.31,2899870.0,30.155602747937237,17173
2024-04-29,30.24,30.64,30.22,30.53,2961992.0,30.455087571960753,18297
2024-04-30,30.25,30.32,29.3,29.33,4330462.0,29.680718712336102,24374
2024-05-01,29.01,29.27,28.13,28.46,5538240.0,28.593803385272583,31778
2024-05-02,28.1,28.75,26.96,27.22,10268465.0,27.365075929699497,54650
2024-05-03,27.28,27.79,26.98,27.3,6296380.0,27.22699569930859,35302
