date,open,high,low,close,volume,average,barCount
2020-12-14,32.68,32.81,31.83,31.87,181185.0,32.218042225704096,1050
2020-12-15,32.06,32.41,31.45,32.22,278331.0,31.873211970292996,2099
2020-12-16,32.5,33.8,32.39,33.67,320780.0,33.30236395370208,2249
2020-12-17,33.6,33.67,32.55,33.08,291267.0,32.92630629558516,2137
2020-12-18,33.13,33.45,32.67,33.27,400486.0,33.13426750934948,1936
2020-12-21,32.84,33.21,32.4,33.16,258432.0,32.86850237993822,2041
2020-12-22,33.14,33.37,32.86,32.97,142675.0,33.067161814173105,1108
2020-12-23,33.07,33.2,32.66,33.01,135797.0,32.99540522923207,987
2020-12-24,33.17,33.4,32.88,33.15,59494.0,33.147555765820016,404
2020-12-28,33.43,33.61,32.63,32.74,292645.0,32.992083165114416,1741
2020-12-29,32.97,33.17,32.28,32.81,206400.0,32.62798493782099,1365
2020-12-30,32.99,33.19,32.79,33.05,219269.0,33.0126799626438,1417
2020-12-31,33.05,33.55,32.76,33.45,201915.0,33.30435719217267,1242
2021-01-04,33.63,33.95,32.39,32.62,209434.0,32.95620487264391,1467
2021-01-05,32.7,33.53,32.62,33.31,190254.0,33.17944758134937,1266
2021-01-06,33.89,36.58,33.89,35.92,712961.0,35.6929212927564,4711
2021-01-07,36.1,36.36,34.3,34.68,534337.0,34.7846689629934,3823
2021-01-08,34.77,34.97,33.98,34.29,369732.0,34.34881415075891,2664
2021-01-11,34.18,34.97,34.14,34.56,287526.0,34.58002981334672,2069
2021-01-12,34.74,35.39,34.3,34.5,235300.0,34.74015330381699,1699
2021-01-13,34.55,36.31,34.55,36.16,482890.0,35.8231462061679,3607
2021-01-14,36.25,36.71,35.55,35.69,336519.0,36.230431266990635,2091
2021-01-15,35.21,35.36,34.02,35.04,380742.0,34.82719138369915,2596
2021-01-19,35.47,35.51,34.76,35.33,289525.0,35.12551274146329,1943
2021-01-20,35.41,36.12,35.3,36.08,291452.0,35.87762805769716,2343
2021-01-21,36.1,36.26,35.39,35.4,239436.0,35.710860438991574,1675
2021-01-22,35.03,35.4,34.54,35.07,273921.0,34.88366647369903,2111
2021-01-25,34.82,35.56,34.37,35.11,377696.0,35.00126754346352,2557
2021-01-26,35.56,35.75,34.68,34.77,166868.0,35.1142177234633,1299
2021-01-27,34.32,34.46,32.72,32.89,741807.0,33.58407499087794,4407
2021-01-28,33.23,34.86,33.09,34.54,490707.0,34.265098134994304,3247
2021-01-29,34.22,34.24,32.02,32.16,639953.0,32.552241875938726,4758
2021-02-01,32.5,33.33,31.69,33.18,461598.0,32.60007959923273,3635
2021-02-02,33.59,34.0,32.95,33.81,455330.0,33.74220524287766,3335
2021-02-03,34.09,34.76,32.64,32.97,646329.0,33.48707071864284,4586
2021-02-04,33.7,35.02,33.3,34.79,822436.0,34.38269920475881,4111
