date,open,high,low,close,volume,average,barCount
2023-12-13,14.66,14.9,14.47,14.85,2084332.0,14.71836259383745,11877
2023-12-14,15.08,15.49,15.0,15.07,4230496.0,15.2299518600233,22454
2023-12-15,15.08,15.27,14.67,14.84,2371532.0,14.864654617501435,10828
2023-12-18,14.89,14.97,14.65,14.71,3265835.0,14.785016356098561,15281
2023-12-19,14.9,15.08,14.62,14.68,6639970.0,14.75645045798666,18855
2023-12-20,14.71,14.79,14.54,14.6,3429354.0,14.678543463136016,15888
2023-12-21,14.72,14.8,14.53,14.66,2212060.0,14.643052498815173,10820
2023-12-22,14.72,14.98,14.65,14.65,2895900.0,14.76856932385231,15413
2023-12-26,14.7,14.81,14.6,14.71,1706083.0,14.727018926598639,10061
2023-12-27,14.68,14.8,14.64,14.73,1287795.0,14.721738512363087,6446
2023-12-28,14.72,14.88,14.66,14.71,1104791.0,14.740056727019697,5570
2023-12-29,14.67,14.73,14.48,14.49,1107543.0,14.586532642278579,6826
2024-01-02,14.47,14.77,14.38,14.7,1924891.0,14.660677796841052,10077
2024-01-03,14.54,14.87,14.46,14.65,2190642.0,14.664166980585165,11575
2024-01-04,14.72,14.83,14.62,14.71,1754800.0,14.732206063595434,8689
2024-01-05,14.64,14.9,14.61,14.71,1450622.0,14.726972287979267,8115
2024-01-08,14.54,14.81,14.54,14.81,1535638.0,14.747907390443967,8903
2024-01-09,14.65,14.72,14.4,14.41,916113.0,14.494069273059504,4773
2024-01-10,14.41,14.48,14.31,14.36,1334128.0,14.40945656726468,6059
2024-01-11,14.26,14.44,14.2,14.4,1472417.0,14.338800596446323,7466
2024-01-12,14.58,14.59,14.28,14.36,1010379.0,14.38764916886395,5904
2024-01-16,14.23,14.31,14.17,14.21,1492036.0,14.235869675994886,7819
2024-01-17,13.99,14.13,13.9,14.1,3059327.0,14.026518651347901,11753
2024-01-18,14.18,14.18,13.96,14.1,1463631.0,14.063155080661122,8775
2024-01-19,14.2,14.4,14.04,14.39,1778813.0,14.261166258139728,10419
2024-01-22,14.5,14.57,14.39,14.48,1767736.0,14.490580089315381,10895
2024-01-23,14.58,14.61,14.23,14.27,1790853.0,14.314376310237503,10050
2024-01-24,14.43,14.46,14.1,14.11,1361019.0,14.214062277594158,7916
2024-01-25,14.33,14.36,14.13,14.31,1323250.0,14.25244329877944,7341
2024-01-26,14.39,14.5,14.34,14.41,1033292.0,14.412073455072768,6360
2024-01-29,14.37,14.59,14.31,14.57,1470736.0,14.477063176236875,8056
2024-01-30,14.47,14.58,14.44,14.44,1049349.0,14.484951628654754,5759
2024-01-31,14.44,14.46,14.07,14.08,1543386.0,14.25969248738861,9532
2024-02-01,14.09,14.37,14.01,14.37,1450954.0,14.208855794028937,8250
2024-02-02,14.18,14.35,14.07,14.23,1182744.0,14.201843836324155,6709
2024-02-05,14.03,14.14,13.93,14.02,1260429.0,14.048457261532036,7087
2024-02-06,13.97,14.16,13.95,14.02,742948.0,14.055469219236818,4434
2024-02-07,14.05,14.06,13.86,13.97,1124579.0,13.952042843091276,6106
2024-02-08,13.92,14.09,13.9,14.08,587968.0,14.008138504729535,3282
2024-02-09,14.14,14.14,13.93,14.13,868121.0,14.065987155793993,5173
2024-02-12,14.19,14.3,14.16,14.22,873922.0,14.236027130134973,5726
2024-02-13,13.83,13.87,13.56,13.72,1169835.0,13.724154217685841,7362
2024-02-14,13.83,14.0,13.69,13.84,1326831.0,13.852998940511222,6726
2024-02-15,13.97,14.17,13.92,14.17,1636139.0,14.05108674567133,10111
2024-02-16,13.98,14.09,13.87,13.96,1757500.0,14.009014999442638,9231
2024-02-20,13.81,14.1,13.73,13.95,1722104.0,13.973955210918717,10233
2024-02-21,13.93,14.27,13.93,14.2,1547718.0,14.16415456366095,9453
2024-02-22,14.18,14.29,13.88,14.26,2632730.0,14.200967341611056,16034
2024-02-23,14.26,14.61,14.23,14.24,2105773.0,14.377142778943723,12508
2024-02-26,14.24,14.29,13.9,14.01,2125356.0,14.00550902059024,12780
2024-02-27,14.07,14.15,13.93,14.02,2067417.0,14.006297425382423,11119
2024-02-28,13.93,14.33,13.91,14.15,1898841.0,14.192167158511712,10170
2024-02-29,14.28,14.33,14.08,14.17,1990712.0,14.170144678283124,7676
2024-03-01,14.25,14.47,14.19,14.39,1382582.0,14.378036891641003,5727
2024-03-04,14.34,14.71,14.33,14.69,1635666.0,14.574477415280011,8296
2024-03-05,14.58,14.71,14.49,14.5,1061097.0,14.588571802626308,6272
2024-03-06,14.64,14.7,14.45,14.49,717021.0,14.542765043750848,4391
2024-03-07,14.62,14.66,14.43,14.54,802821.0,14.506648176175963,4673
2024-03-08,14.68,14.88,14.61,14.86,1108041.0,14.762989846036733,5432
2024-03-11,14.81,14.97,14.76,14.78,1578530.0,14.8431516740688,8432
2024-03-12,14.76,14.97,14.69,14.76,1473977.0,14.832580883559078,7624
2024-03-13,14.7,14.83,14.46,14.53,1768986.0,14.58240550816231,9095
2024-03-14,14.44,14.54,14.26,14.36,1526197.0,14.361299806667274,8565
2024-03-15,14.24,14.42,14.15,14.25,1586320.0,14.267924490498059,6629
2024-03-18,14.27,14.59,14.23,14.51,835953.0,14.49431558724795,4957
2024-03-19,14.46,14.57,14.42,14.54,541640.0,14.51721896668568,3281
2024-03-20,14.45,14.58,14.38,14.55,702075.0,14.504005478548521,4299
2024-03-21,14.61,14.8,14.57,14.75,891736.0,14.701326901396676,4395
2024-03-22,14.8,14.83,14.5,14.52,477783.0,14.574477415280004,2656
2024-03-25,14.61,14.61,14.32,14.32,717074.0,14.467888610973636,3976
2024-03-26,14.39,14.45,14.31,14.31,566956.0,14.377465423941304,2975
2024-03-27,14.47,14.62,14.42,14.62,884877.0,14.548320102028901,4279
2024-03-28,14.65,14.7,14.37,14.5,1140504.0,14.505827746856855,5463
2024-04-01,14.48,14.62,14.37,14.44,804597.0,14.497860430262095,4453
2024-04-02,14.26,14.39,14.2,14.39,1419816.0,14.309300604186149,7694
2024-04-03,14.32,14.32,14.16,14.21,1076699.0,14.222545379043224,5864
2024-04-04,14.38,14.41,14.03,14.16,923535.0,14.221660121643808,5151
2024-04-05,14.16,14.24,14.08,14.22,794195.0,14.177397251672929,4181
2024-04-08,14.21,14.45,14.19,14.35,760401.0,14.347366672361106,4357
2024-04-09,14.36,14.42,14.19,14.31,767495.0,14.275660823008282,4268
2024-04-10,14.05,14.16,13.89,13.94,1127010.0,14.000345771789407,6802
2024-04-11,14.03,14.15,13.92,14.08,562852.0,14.049920186156792,3464
2024-04-12,14.0,14.1,13.93,14.0,538738.0,13.993263712594064,3324
2024-04-15,14.11,14.15,13.77,13.83,717230.0,13.91182003184765,4085
2024-04-16,13.77,13.86,13.55,13.57,1489045.0,13.655980643415958,6715
2024-04-17,13.6,13.65,13.23,13.25,1117060.0,13.356763642412808,5880
2024-04-18,13.31,13.35,13.15,13.22,878858.0,13.236368636092019,4729
2024-04-19,13.21,13.42,13.21,13.4,1155280.0,13.32666489083262,5964
2024-04-22,13.41,13.67,13.36,13.65,1051282.0,13.539126666692846,5239
2024-04-23,13.62,13.82,13.6,13.69,879260.0,13.726801235369381,4989
2024-04-24,13.65,13.69,13.48,13.52,1024093.0,13.555061299882366,6203
2024-04-25,13.38,13.49,13.25,13.28,1234034.0,13.3505668406169,5768
2024-04-26,13.31,13.41,13.19,13.28,1809672.0,13.277080983088299,7971
2024-04-29,13.36,13.43,13.28,13.42,1342417.0,13.358071355085954,7026
2024-04-30,13.34,13.37,13.11,13.14,1296250.0,13.22902076234244,5372
2024-05-01,13.18,13.47,13.16,13.22,1302708.0,13.270850954473095,6297
2024-05-02,13.34,13.34,13.01,13.06,1239531.0,13.095520149159487,6240
2024-05-03,13.26,13.34,13.02,13.07,1458276.0,13.096410153247371,8222
2024-05-06,13.15,13.22,13.06,13.17,963036.0,13.125780288147622,5224
2024-05-07,13.39,13.46,13.2,13.23,1572794.0,13.265510929945771,8881
2024-05-08,13.17,13.23,12.99,13.09,1187630.0,13.094630145071593,5941
2024-05-09,13.13,13.23,13.08,13.22,2231038.0,13.16049044757518,8133
2024-05-10,13.24,13.29,13.07,13.21,2515374.0,13.130230308587043,9759
2024-05-13,13.32,13.4,13.15,13.25,1586884.0,13.24237082366072,7168
2024-05-14,13.39,13.42,13.12,13.16,3170389.0,13.191640590651199,9826
2024-05-15,13.34,13.35,13.04,13.05,2522476.0,13.155150423047859,8685
2024-05-16,13.06,13.14,12.99,13.1,2049583.0,13.072380042874428,8752
2024-05-17,13.16,13.27,12.95,13.0,1888899.0,13.059029981556137,8125
2024-05-20,13.0,13.29,13.0,13.16,2229897.0,13.14536037808111,8874
2024-05-21,13.15,13.2,13.01,13.06,1392556.0,13.10175017777468,5913
2024-05-22,13.05,13.15,12.94,12.96,924087.0,13.021649809864913,5136
2024-05-23,12.94,12.97,12.74,12.76,1146345.0,12.82584891052992,5768
2024-05-24,12.86,13.04,12.84,12.88,1664455.0,12.903279266176034,7292
2024-05-28,12.99,12.99,12.72,12.77,1648744.0,12.814278857387396,6781
2024-05-29,12.66,12.68,12.53,12.61,2492374.0,12.58910782315215,10835
2024-05-30,12.71,12.76,12.58,12.65,1126738.0,12.655908519217817,6174
2024-05-31,12.69,12.95,12.65,12.92,2158359.0,12.839392341455419,10361
2024-06-03,12.92,13.07,12.83,13.07,2543635.0,12.975438882821832,9889
2024-06-04,13.0,13.12,12.9,12.93,1222479.0,12.971858710680609,5384
2024-06-05,12.96,12.98,12.73,12.81,1068327.0,12.794640189690151,4945
2024-06-06,12.8,12.94,12.74,12.89,1191565.0,12.869823804655802,6538
2024-06-07,12.76,12.88,12.72,12.74,1524840.0,12.776739328984043,6974
2024-06-10,12.58,12.86,12.49,12.8,1664574.0,12.75436325310141,9007
2024-06-11,12.75,12.92,12.75,12.82,2827894.0,12.851922943949695,8209
2024-06-12,13.09,13.35,13.06,13.15,3027938.0,13.178613651836152,12802
2024-06-13,13.17,13.19,12.99,13.13,1525948.0,13.070313444564203,7376
2024-06-14,13.04,13.09,12.88,12.92,1078367.0,12.965593409433472,5018
2024-06-17,12.92,13.09,12.9,13.09,951845.0,13.030931551010767,5162
2024-06-18,13.13,13.21,12.94,12.97,800096.0,13.006765389057518,4388
2024-06-20,12.92,13.06,12.84,13.01,967356.0,12.972753753715915,4829
2024-06-21,13.04,13.15,12.95,13.06,1587311.0,13.064048143317061,5837
2024-06-24,13.1,13.21,13.01,13.01,927399.0,13.086424219199694,4301
2024-06-25,13.01,13.04,12.84,12.85,749013.0,12.918156128562286,3708
2024-06-26,12.79,12.85,12.69,12.77,1435405.0,12.762418640419154,7039
2024-06-27,12.75,12.84,12.68,12.84,939346.0,12.75026123386462,4732
2024-06-28,12.9,13.1,12.83,13.09,1613015.0,13.026579898187396,8087
2024-07-01,13.1,13.1,12.82,12.85,1065150.0,12.891570778811447,5830
2024-07-02,12.85,12.9,12.8,12.85,673132.0,12.85286816459034,3575
2024-07-03,12.91,12.92,12.78,12.79,448583.0,12.843867556631944,1939
2024-07-05,12.78,12.8,12.67,12.78,964036.0,12.751161294660461,4507
2024-07-08,12.87,12.89,12.69,12.72,892678.0,12.761962024210538,4037
2024-07-09,12.68,12.75,12.56,12.57,2175237.0,12.620652479263711,8579
