date,open,high,low,close,volume,average,barCount
2020-12-16,38.1,38.39,37.55,37.88,604271.0,37.969728373162624,4843
2020-12-17,38.21,38.34,37.31,37.98,561013.0,37.88218082638781,4104
2020-12-18,38.21,38.6,36.92,37.55,859394.0,37.44176306557165,5990
2020-12-21,37.87,37.87,36.54,37.19,681833.0,37.21485411780834,4340
2020-12-22,37.56,37.67,36.66,36.7,409283.0,36.97901174690479,2982
2020-12-23,37.16,38.1,37.12,37.78,428297.0,37.802673360439286,3113
2020-12-24,37.77,37.9,37.19,37.86,106743.0,37.65527187862454,828
2020-12-28,38.18,38.43,37.71,37.77,245937.0,38.093902954812634,1829
2020-12-29,37.95,38.1,37.23,37.4,337526.0,37.45516320028211,2351
2020-12-30,37.42,38.19,37.23,37.98,512346.0,37.956328238452215,3724
2020-12-31,38.03,38.73,37.68,38.54,335124.0,38.45570659199426,2391
2021-01-04,38.92,39.1,37.42,37.51,433979.0,37.90540772655256,2648
2021-01-05,37.31,38.98,37.17,38.3,655789.0,38.346718829682736,3852
2021-01-06,39.42,41.5,39.27,41.1,1268641.0,41.007985583174275,7222
2021-01-07,41.77,41.85,41.04,41.28,1258038.0,41.47163024415517,8856
2021-01-08,40.54,41.0,39.76,40.34,585839.0,40.35673903624733,4299
2021-01-11,39.73,40.48,39.57,39.71,469233.0,39.90113445609268,3572
2021-01-12,40.19,40.69,39.74,39.95,787148.0,40.2656181202164,5304
2021-01-13,39.9,40.37,39.31,40.0,876359.0,39.6903056699819,4343
2021-01-14,40.18,41.21,39.91,40.66,487793.0,40.82395706648435,3136
2021-01-15,39.97,40.15,39.25,39.64,567718.0,39.79304003609519,3529
2021-01-19,40.05,40.52,39.48,39.9,345490.0,40.1110698998894,2507
2021-01-20,41.0,41.0,39.82,39.91,507911.0,40.06908281113004,3442
2021-01-21,39.97,40.2,39.0,39.03,626514.0,39.31420855577578,4793
2021-01-22,38.41,39.02,38.15,38.67,531714.0,38.5611209850496,3316
2021-01-25,38.35,38.6,37.52,38.15,477832.0,37.99831532721151,3433
2021-01-26,38.49,38.81,37.71,38.14,788706.0,38.219864221090624,4805
2021-01-27,37.5,37.81,36.92,37.08,1277010.0,37.46230993879428,9351
2021-01-28,37.41,38.71,37.07,37.96,695192.0,38.07156939696188,4638
2021-01-29,37.74,37.82,35.92,36.53,660164.0,36.55556749005511,4471
