date,open,high,low,close,volume,average,barCount
2023-12-13,47.0,48.02,46.14,47.78,42201.0,47.42705516415373,356
2023-12-14,48.07,49.74,48.07,49.36,80004.0,49.07781147550559,510
2023-12-15,49.77,50.26,49.07,49.62,94070.0,49.71293948586855,396
2023-12-18,49.68,49.77,48.76,48.84,52847.0,49.1546802210866,437
2023-12-19,49.31,50.81,49.31,50.59,89693.0,50.463370614603036,658
2023-12-20,50.71,51.58,49.68,49.76,114211.0,50.7919845019618,766
2023-12-21,52.89,52.97,48.79,51.29,135572.0,50.96974347611785,1036
2023-12-22,51.5,52.17,51.18,51.97,57381.0,51.81914311478784,453
2023-12-26,51.92,52.5,51.56,52.01,60630.0,52.090105442960855,497
2023-12-27,51.99,52.32,51.54,51.75,26785.0,51.801847647032126,230
2023-12-28,51.52,51.79,51.26,51.56,16408.0,51.526081022260314,145
2023-12-29,51.42,51.6,50.7,51.32,43973.0,51.13885471639606,343
2024-01-02,50.79,51.62,50.31,50.99,58261.0,51.09081175040794,486
2024-01-03,50.64,50.83,49.92,50.03,43034.0,50.36632382330707,375
2024-01-04,50.17,50.51,49.15,50.14,33630.0,50.1145786815293,291
2024-01-05,49.77,50.69,49.77,49.96,36394.0,50.05020110710522,318
2024-01-08,50.19,50.71,49.37,49.97,23827.0,49.926250254855866,156
2024-01-09,49.33,50.43,49.15,50.38,45887.0,49.91760252097801,299
2024-01-10,50.21,50.91,50.21,50.79,39524.0,50.68244653950891,320
2024-01-11,50.89,51.18,49.81,51.1,42322.0,50.6824465395089,301
2024-01-12,51.57,51.89,50.48,50.94,32898.0,50.94476113380405,258
2024-01-16,50.43,51.18,50.34,51.07,91795.0,50.745863254613226,653
2024-01-17,50.68,51.37,50.49,51.01,51214.0,51.11291151476248,407
2024-01-18,51.39,51.59,50.65,51.28,35323.0,51.04372964373959,297
2024-01-19,51.54,51.54,50.63,51.41,32551.0,51.14173729435535,203
2024-01-22,51.9,52.68,51.9,52.48,30229.0,52.398541284604605,222
2024-01-23,52.85,53.24,51.49,51.54,27958.0,52.01323669737987,210
2024-01-24,52.12,52.12,51.09,51.2,27340.0,51.366578375179756,229
2024-01-25,51.97,52.16,51.57,52.16,33682.0,51.88352068921194,300
2024-01-26,52.37,52.42,51.7,52.34,27606.0,52.11502522840641,234
2024-01-29,52.45,52.68,52.17,52.67,18549.0,52.47411299415437,159
2024-01-30,52.4,52.81,52.4,52.68,28033.0,52.678754409042995,257
2024-01-31,52.93,53.02,50.76,50.98,68183.0,51.85536230102413,600
2024-02-01,50.98,52.14,50.98,52.08,36003.0,51.5879770560989,244
2024-02-02,51.55,52.26,51.4,51.95,23273.0,51.87852925365305,208
2024-02-05,51.37,51.75,50.52,51.31,24720.0,51.28680667192319,220
2024-02-06,51.21,51.94,51.12,51.27,27673.0,51.433530705239555,244
2024-02-07,51.61,52.27,51.49,52.15,36961.0,52.01946154881218,257
2024-02-08,52.06,52.6,51.78,52.44,37240.0,52.36213938978135,303
2024-02-09,52.48,53.52,51.94,53.21,47002.0,52.94807023335398,385
2024-02-12,53.01,54.65,53.01,54.07,61614.0,54.07552859462718,378
2024-02-13,53.06,53.19,51.33,51.68,48304.0,52.12660870472085,368
2024-02-14,52.4,52.48,51.55,52.14,54410.0,52.11405993871353,402
2024-02-15,52.55,53.27,52.01,53.26,40875.0,52.61118413054204,347
2024-02-16,52.99,53.27,52.77,52.91,21571.0,52.97316776536862,117
2024-02-20,52.38,52.93,52.26,52.42,20855.0,52.48280060139022,171
2024-02-21,52.51,53.34,52.42,52.99,55261.0,52.939382626118146,464
2024-02-22,53.04,53.48,52.43,52.81,38611.0,52.831270180516604,350
2024-02-23,52.87,54.16,52.87,54.07,37620.0,53.80621277031619,325
2024-02-26,53.7,54.8,53.7,54.62,36167.0,54.40469237989615,312
2024-02-27,55.01,55.57,54.65,54.76,47043.0,55.05336705350539,377
2024-02-28,54.4,55.56,54.4,55.35,28751.0,55.187542320814444,244
2024-02-29,55.81,55.96,54.67,55.22,39602.0,55.22518861883642,292
2024-03-01,55.22,55.67,54.69,55.11,37363.0,55.1363819670923,295
2024-03-04,55.06,55.6,54.31,54.53,40952.0,54.75123137963682,351
2024-03-05,54.22,54.47,53.91,54.04,37591.0,54.129584817427975,353
2024-03-06,54.55,54.89,54.16,54.65,19608.0,54.63732719587806,184
2024-03-07,55.09,55.21,54.56,54.7,21653.0,54.82362810660214,182
2024-03-08,55.02,55.81,54.52,54.55,43640.0,54.975178588382875,290
2024-03-11,54.52,54.91,53.46,54.79,19406.0,54.25893363627267,183
2024-03-12,55.02,55.06,54.26,54.81,21794.0,54.6595288588141,177
2024-03-13,54.9,55.62,54.79,55.27,27605.0,55.254147309622574,222
