date,open,high,low,close,volume,average,barCount
2023-12-13,36.37,38.03,36.33,37.93,1893636.0,37.166,12872
2023-12-14,38.25,39.59,38.14,38.69,2159146.0,38.718,14833
2023-12-15,38.79,40.24,38.72,39.95,1922874.0,39.598,12336
2023-12-18,40.57,41.05,39.92,40.87,1477834.0,40.617,10052
2023-12-19,41.46,44.41,41.26,43.59,2174627.0,43.524,13217
2023-12-20,43.54,44.57,43.03,43.1,1408100.0,43.792,9264
2023-12-21,43.92,44.11,42.32,43.0,972062.0,42.834,6382
2023-12-22,42.38,42.48,41.14,41.21,1186651.0,41.598,7543
2023-12-26,41.16,41.39,40.31,40.4,1363010.0,40.681,9164
2023-12-27,40.57,40.69,39.88,40.65,1153290.0,40.359,7981
2023-12-28,40.35,40.93,40.35,40.76,688616.0,40.721,4801
2023-12-29,40.7,40.75,39.27,39.85,944704.0,39.857,6504
2024-01-02,39.41,39.41,38.3,38.78,1039418.0,38.749,6776
2024-01-03,37.94,38.43,37.58,38.21,831938.0,38.033,5815
2024-01-04,38.04,38.42,37.4,38.12,1016470.0,38.035,6788
2024-01-05,37.79,38.69,37.68,38.11,758431.0,38.29,5034
2024-01-08,38.33,39.31,37.95,39.29,858320.0,38.864,5643
2024-01-09,38.76,39.31,38.6,39.14,1123241.0,39.04,7098
2024-01-10,39.39,41.26,39.15,40.53,1964472.0,40.354,11169
2024-01-11,40.99,41.45,39.91,41.42,1316561.0,40.893,8175
2024-01-12,41.45,42.03,41.21,41.71,1402565.0,41.559,8647
2024-01-16,41.37,41.42,40.39,40.72,1176807.0,40.784,8289
2024-01-17,40.57,41.22,39.43,41.18,1634255.0,40.793,10472
2024-01-18,42.01,43.12,40.98,43.09,1899432.0,42.435,12389
2024-01-19,43.4,43.7,41.1,41.14,2141738.0,41.832,13214
2024-01-22,42.44,44.02,42.27,43.36,6180602.0,43.23,31764
2024-01-23,44.05,44.89,43.4,44.73,3921729.0,44.261,21507
