date,open,high,low,close,volume,average,barCount
2020-12-16,122.96,123.6,121.12,122.84,588561.0,122.524,4257
2020-12-17,124.22,125.23,123.21,124.89,895314.0,124.241,5797
2020-12-18,125.0,125.75,122.37,124.3,1098910.0,124.084,6220
2020-12-21,120.0,123.68,119.75,123.32,724546.0,122.286,5121
2020-12-22,123.8,126.0,122.72,125.04,557570.0,124.766,4274
2020-12-23,127.14,130.04,126.31,128.35,986589.0,128.764,6001
2020-12-24,128.9,129.2,127.05,128.42,225512.0,127.94,1729
2020-12-28,128.94,130.02,128.0,128.14,362443.0,128.84,2593
2020-12-29,129.04,130.35,127.06,128.07,524522.0,128.465,3836
2020-12-30,128.71,131.03,128.71,130.79,629496.0,130.077,4571
2020-12-31,130.8,131.23,129.7,130.29,401018.0,130.476,2916
2021-01-04,131.36,131.97,127.76,129.51,995769.0,129.569,6537
2021-01-05,129.0,133.8,129.0,133.39,1145957.0,132.401,8389
2021-01-06,133.74,138.96,133.01,138.11,1158463.0,137.187,7761
2021-01-07,141.02,145.85,140.61,144.8,1549537.0,144.048,10057
2021-01-08,146.27,151.19,143.81,145.56,1671997.0,147.115,10893
2021-01-11,143.1,147.46,141.71,145.08,1637542.0,145.073,10284
2021-01-12,146.74,152.78,146.2,151.09,1610436.0,150.387,10155
2021-01-13,150.02,150.99,145.1,146.06,1690651.0,147.033,10534
2021-01-14,146.67,147.01,143.11,144.22,1217733.0,144.683,8241
2021-01-15,143.25,143.87,137.53,142.75,1160366.0,141.035,7304
2021-01-19,146.1,147.62,141.02,142.57,1253836.0,143.277,8418
2021-01-20,145.6,145.95,143.03,145.12,1381844.0,144.4,8692
2021-01-21,145.61,146.57,143.35,143.85,1225321.0,144.457,9168
2021-01-22,141.28,143.69,139.0,139.49,1435023.0,140.797,10164
2021-01-25,139.0,139.81,134.1,139.01,1435801.0,137.281,10690
2021-01-26,139.29,140.35,135.3,135.7,1084751.0,136.615,7125
2021-01-27,131.76,133.38,127.21,127.96,1506352.0,129.437,10503
2021-01-28,130.36,135.1,129.27,133.42,2164841.0,132.217,12694
2021-01-29,133.59,137.06,130.66,133.6,1770609.0,133.288,9379
