date,open,high,low,close,volume,average,barCount
2023-12-13,105.51,113.8,105.28,113.2,1309125.0,111.36666266625598,7282
2023-12-14,116.84,122.12,116.84,121.22,2085055.0,120.78471093467546,13469
2023-12-15,119.7,120.37,115.71,117.33,1769379.0,117.77158463627818,9085
2023-12-18,118.16,118.22,116.01,116.39,827704.0,117.09899570192617,5499
2023-12-19,117.37,117.49,115.76,116.79,713881.0,116.84023829688725,5540
2023-12-20,116.77,118.86,113.93,114.03,936178.0,117.06383354584072,5269
2023-12-21,115.67,116.88,114.73,116.21,481205.0,115.7664401456631,3342
2023-12-22,116.89,118.51,114.45,115.18,378230.0,115.73668755205235,2894
2023-12-26,115.4,117.11,115.09,116.4,327963.0,116.21904020604472,2292
2023-12-27,116.3,116.79,115.43,116.55,367872.0,116.05186908856057,2807
2023-12-28,115.95,117.43,115.82,117.37,327399.0,116.7766583285569,2282
2023-12-29,116.54,117.81,115.3,115.43,474247.0,116.3477943435842,3644
2024-01-02,115.64,119.61,114.73,117.74,507850.0,117.36395614237304,3271
2024-01-03,115.61,115.61,111.81,114.14,544529.0,114.1852636337961,3844
2024-01-04,113.43,115.52,112.2,114.43,404557.0,114.49757859525181,3037
2024-01-05,113.08,116.35,112.05,115.19,312819.0,115.12220851816322,2352
2024-01-08,115.19,118.73,115.14,118.14,433407.0,117.76641448920518,3161
2024-01-09,116.47,117.85,115.86,116.86,315100.0,117.05073064167111,2305
2024-01-10,117.43,118.51,116.69,117.58,261411.0,117.79646228433067,1969
2024-01-11,116.49,117.23,114.08,114.61,522357.0,115.05027591771135,3814
2024-01-12,116.06,117.3,114.73,114.96,494588.0,115.22965214921798,3425
2024-01-16,113.36,115.7,112.91,115.24,432843.0,114.8226411061547,3036
2024-01-17,112.65,115.49,110.56,112.17,625551.0,112.3031790118458,4739
2024-01-18,111.85,112.71,109.89,111.05,542979.0,110.84085298240595,3927
2024-01-19,111.66,112.82,109.96,112.32,618696.0,111.86520963441083,3688
2024-01-22,112.93,113.58,111.61,112.37,520899.0,112.56450377551282,4108
2024-01-23,113.38,113.38,110.78,111.08,740989.0,111.43543511019189,4966
2024-01-24,112.87,113.3,109.44,109.97,550923.0,110.59773900366345,3577
2024-01-25,112.03,112.76,111.05,112.38,434158.0,112.06734934707312,3143
2024-01-26,112.73,113.42,111.41,113.23,553104.0,112.7939596655619,4316
2024-01-29,113.54,115.47,112.9,115.13,893022.0,114.49211535977444,6151
2024-01-30,113.35,113.54,110.31,110.36,901915.0,111.44636158114659,6793
2024-01-31,111.11,113.86,108.46,110.08,655033.0,110.6997193992408,5263
2024-02-01,109.72,111.57,106.92,111.51,732133.0,109.9421507463803,5434
2024-02-02,108.98,111.09,107.26,110.59,1116699.0,109.67900490422082,6857
