date,open,high,low,close,volume,average,barCount
2023-12-13,108.4,111.58,107.68,111.32,450000.0,110.24709686765364,3795
2023-12-14,111.85,112.68,109.78,109.93,593684.0,110.75012544651746,4774
2023-12-15,109.56,109.59,108.59,109.39,829433.0,109.38204014491056,3991
2023-12-18,109.53,110.01,108.34,108.88,291722.0,109.07907975082212,2111
2023-12-19,109.15,109.73,108.78,109.7,330188.0,109.28867499201537,2348
2023-12-20,109.46,110.03,107.78,107.81,227078.0,108.83042357831556,1766
2023-12-21,108.12,109.24,107.67,108.37,187141.0,108.31310441482495,1305
2023-12-22,108.88,110.2,108.65,109.48,164568.0,109.58782456353666,1346
2023-12-26,109.31,110.78,109.04,110.33,203974.0,110.3242660246384,1474
2023-12-27,110.47,110.63,110.02,110.44,177376.0,110.31283355693697,1313
2023-12-28,110.46,111.22,110.24,110.59,171901.0,110.54434102789133,1308
2023-12-29,110.12,110.73,109.72,110.42,124340.0,110.22327922660894,977
2024-01-02,110.2,111.78,110.2,111.4,282269.0,111.23695802947087,2084
2024-01-03,111.57,113.08,111.5,112.44,474406.0,112.30970458212363,3580
2024-01-04,112.69,113.13,111.93,112.04,183102.0,112.43355631555602,1319
2024-01-05,111.81,112.84,111.49,112.4,179448.0,112.16108250200477,1398
2024-01-08,112.64,113.3,111.83,113.23,191013.0,112.60504333107778,1513
2024-01-09,112.88,113.19,112.15,112.76,217094.0,112.71650989116692,1611
2024-01-10,112.91,113.16,112.1,112.46,277650.0,112.60885415364494,1487
2024-01-11,112.19,112.19,109.79,109.93,215619.0,110.32617143592202,1561
2024-01-12,110.68,111.11,110.01,110.31,184890.0,110.36904318980244,1385
2024-01-16,109.7,110.4,108.38,108.68,263823.0,109.37727661670164,1781
2024-01-17,108.14,109.06,106.51,107.41,375351.0,107.59571706655893,2522
2024-01-18,107.15,107.19,105.9,107.11,612752.0,106.58775449754772,4482
2024-01-19,107.94,108.13,106.84,107.73,549518.0,107.67098081226014,3538
2024-01-22,107.91,108.48,107.12,107.79,278045.0,107.70337280408091,2037
2024-01-23,106.37,107.93,106.37,107.37,384781.0,107.28037149912723,2449
2024-01-24,108.02,108.1,105.48,105.65,405745.0,106.28003057525032,3024
2024-01-25,106.12,108.64,106.06,108.53,513439.0,107.73195397333453,3902
2024-01-26,108.88,109.08,108.06,108.32,401587.0,108.41123309592906,2912
