date,open,high,low,close,volume,average,barCount
2020-12-14,136.02,137.2,134.6,134.68,453028.0,135.8131881562328,3166
2020-12-15,135.4,139.03,134.92,138.71,1093050.0,137.19851894063018,5315
2020-12-16,139.47,140.31,136.23,136.33,414152.0,137.86851858046631,3092
2020-12-17,137.14,138.9,136.63,137.68,472867.0,137.65818039854213,3686
2020-12-18,137.81,138.32,135.73,136.21,586498.0,137.01356640135205,3489
2020-12-21,135.04,135.44,133.3,135.19,532763.0,134.39249879815,4099
2020-12-22,135.4,135.4,133.65,134.24,446103.0,134.4641225756156,3579
2020-12-23,135.04,136.59,133.59,133.65,388816.0,134.71435248169783,3028
2020-12-24,134.07,135.21,133.66,135.21,137456.0,134.2927694877549,1036
2020-12-28,135.62,136.91,135.07,135.68,303360.0,135.82769423774485,2093
2020-12-29,136.71,137.7,135.93,136.66,265129.0,136.5883568870311,1976
2020-12-30,136.81,137.54,136.23,136.57,180015.0,136.72344477111176,1384
2020-12-31,136.53,139.26,136.18,139.14,222819.0,137.90659704443542,1734
2021-01-04,139.35,139.43,134.74,136.21,738193.0,136.5956099277871,4843
2021-01-05,136.45,137.36,135.0,136.98,412093.0,136.521266260038,3247
2021-01-06,137.61,139.38,136.5,138.13,691803.0,138.4197496779229,5186
2021-01-07,139.52,140.16,137.62,137.93,452419.0,138.53579833001905,3290
2021-01-08,137.89,142.68,137.35,142.32,834437.0,140.6944845850256,5329
2021-01-11,141.76,142.84,139.86,142.01,510810.0,141.61290087075503,4113
2021-01-12,142.14,144.25,140.01,141.64,727187.0,141.74254897426866,5404
2021-01-13,141.98,146.15,141.64,144.78,530381.0,144.60115366222996,4002
2021-01-14,144.63,144.77,142.59,143.25,353013.0,143.56124894383743,2765
2021-01-15,142.85,145.33,142.34,144.81,416626.0,144.08165461808107,2902
2021-01-19,145.77,145.89,142.98,144.4,387094.0,144.5485691167491,2833
2021-01-20,144.35,148.57,143.77,148.14,472556.0,147.05086817757152,3692
2021-01-21,147.87,148.68,144.96,145.88,374201.0,146.33372377282132,2865
2021-01-22,145.46,146.62,144.17,145.89,260900.0,145.72265508912767,2016
2021-01-25,145.86,148.29,144.96,146.16,490057.0,146.4216668919879,4000
2021-01-26,145.29,145.8,143.83,144.44,426028.0,144.73986806668876,3190
2021-01-27,143.42,144.06,140.89,142.09,433261.0,142.48326576147605,3531
2021-01-28,142.38,147.44,142.17,144.87,431335.0,145.2412345089477,3445
2021-01-29,143.84,145.8,141.47,144.17,443536.0,144.4080414521015,3626
2021-02-01,145.63,148.3,144.74,146.44,369689.0,146.93572615556997,2927
2021-02-02,146.84,150.57,146.4,148.07,436239.0,148.98017701866945,3427
2021-02-03,147.65,149.47,146.77,148.79,372205.0,148.64925703417663,2904
2021-02-04,148.53,150.07,147.79,148.71,264117.0,148.79734582853698,2027
2021-02-05,149.32,150.58,148.05,150.11,228944.0,149.79981371772908,1702
2021-02-08,150.05,150.3,146.56,147.57,351337.0,148.07596920772986,2714
2021-02-09,147.8,148.88,146.99,148.68,221286.0,148.10962738549748,1834
2021-02-10,150.1,150.23,148.83,149.92,246142.0,149.65972292377649,1888
2021-02-11,150.23,150.72,148.95,149.94,223458.0,149.86894943422496,1711
2021-02-12,149.02,150.88,145.8,147.09,294287.0,147.49377370039505,2231
2021-02-16,147.0,148.5,145.71,146.98,479866.0,146.65049989523985,3757
2021-02-17,146.85,147.34,145.6,146.26,473325.0,146.43035721902882,2585
2021-02-18,145.91,146.68,145.26,145.69,774920.0,145.8618069188972,5023
2021-02-19,145.89,146.15,142.33,142.51,408315.0,143.85050337715145,3045
2021-02-22,141.16,142.46,137.2,138.1,751308.0,138.79904767054165,5378
2021-02-23,138.28,139.87,137.03,139.32,586650.0,138.90457060624607,4746
2021-02-24,139.18,139.48,136.29,136.4,832379.0,137.6846890822836,5700
2021-02-25,136.15,136.33,131.93,132.49,832858.0,133.57384299221158,6978
2021-02-26,132.93,134.05,128.97,129.07,999372.0,130.90120174135276,7407
2021-03-01,131.19,132.62,130.53,131.0,800984.0,131.55799104806493,5382
2021-03-02,130.82,131.4,126.71,127.03,1024760.0,127.65728114892168,7542
2021-03-03,126.34,126.85,119.18,120.2,1504423.0,121.38321487690881,10099
2021-03-04,122.83,126.22,120.58,122.78,2311209.0,123.81661016147235,13882
