date,open,high,low,close,volume,average,barCount
2020-12-14,118.64,119.0,116.83,116.9,2250333.6921420884,118.02862783178661,11775
2020-12-15,117.78,118.23,116.54,117.98,1419459.3948092335,117.6038117609561,8304
2020-12-16,117.94,118.77,117.75,118.47,1250904.1980624327,118.27716887163653,7559
2020-12-17,118.87,119.85,118.46,119.31,1409257.2658772874,119.29834836145479,7791
2020-12-18,119.38,119.85,118.27,119.15,2213210.142327473,119.15651787675782,6946
2020-12-21,117.25,118.96,116.86,118.64,941996.1727066141,118.03875858069352,5417
2020-12-22,118.33,118.82,117.64,118.04,924677.6701351514,118.33930413159905,5316
2020-12-23,118.39,118.75,117.48,117.51,886341.3467288603,117.97527255421015,4944
2020-12-24,117.8,118.06,117.12,117.87,406268.3889486904,117.69769003416036,2351
2020-12-28,118.4,119.14,117.78,118.0,867670.1351512978,118.38860710961285,4151
2020-12-29,118.66,118.66,116.94,117.42,837404.6166726468,117.58219949662141,4584
2020-12-30,117.44,118.14,117.1,117.59,924274.6083004426,117.7017423337232,5259
2020-12-31,117.53,118.1,116.96,118.05,1141558.426025595,117.61799480942594,6735
2021-01-04,118.19,119.0,115.19,116.08,1843888.2908742975,116.6420659980586,10834
2021-01-05,116.3,117.01,115.25,115.88,1329477.3352469802,116.01733648213145,8151
2021-01-06,116.65,118.58,116.19,117.65,2400709.2453055857,117.86180816645268,14080
2021-01-07,115.87,117.15,112.22,114.63,4569433.082167205,113.98780978444367,21249
2021-01-08,114.25,114.5,111.17,112.53,3975096.2803492406,112.25950402092187,18255
2021-01-11,112.18,112.88,111.44,111.57,2032099.0312163618,111.96773845240236,12062
2021-01-12,112.05,112.91,110.82,112.46,2379108.958258582,112.2757132191729,13107
2021-01-13,112.97,113.29,112.15,112.3,1496036.3592871667,112.59922180093412,8753
2021-01-14,112.97,113.03,111.59,112.39,1738116.2540365986,112.50331737794856,9205
2021-01-15,111.86,112.29,110.34,111.81,2759380.4568831483,111.2450783637082,12847
2021-01-19,112.96,114.51,112.65,114.22,2457204.879799067,113.80613168737945,13359
2021-01-20,113.96,115.21,113.75,114.96,1927959.574213611,114.61118853384987,10341
2021-01-21,114.96,115.82,114.4,115.27,1867310.130367181,115.32169172385572,10902
2021-01-22,114.95,114.95,112.95,114.17,1687231.1924410956,114.31266913272577,9886
