date,open,high,low,close,volume,average,barCount
2023-12-13,14.72,14.87,14.51,14.83,37727088.0,14.682403918293,82494
2023-12-14,14.88,15.15,14.88,15.01,45469065.0,15.028572218447996,97280
2023-12-15,14.89,15.02,14.83,14.89,34221321.0,14.905069465528111,64765
2023-12-18,14.96,15.1,14.79,14.84,27082603.0,14.867207307698656,60080
2023-12-19,14.81,14.98,14.79,14.97,22811864.0,14.925803504339477,51057
2023-12-20,14.94,14.98,14.78,14.78,25491516.0,14.887039866561702,57898
2023-12-21,14.85,14.88,14.74,14.87,27359801.0,14.813118510799438,56645
2023-12-22,14.87,15.08,14.87,14.92,22989413.0,14.977187861393734,48171
2023-12-26,14.87,14.97,14.82,14.94,18374162.0,14.926704984287795,37255
2023-12-27,14.87,14.98,14.83,14.95,22739326.0,14.914084265011313,46001
2023-12-28,14.91,15.21,14.9,15.09,27605628.0,15.107902453900182,57234
2023-12-29,14.99,15.17,14.97,15.13,26164280.0,15.105198014055228,51288
2024-01-02,15.18,15.67,15.17,15.55,39256490.0,15.500046231419523,79134
2024-01-03,15.6,15.67,15.52,15.53,25263293.0,15.580277946820027,55620
2024-01-04,15.56,15.6,15.46,15.46,26860813.0,15.535203949404007,53493
2024-01-05,15.47,15.79,15.41,15.75,27382617.0,15.700174779946625,57583
2024-01-08,15.73,15.77,15.54,15.61,33077150.0,15.635620510976104,63988
2024-01-09,15.55,15.56,15.42,15.53,23131162.0,15.492241692239528,47262
2024-01-10,15.52,15.52,15.35,15.46,21916247.0,15.415284371000727,44117
2024-01-11,15.39,15.39,14.8,14.87,50185311.0,15.040575509254662,91375
2024-01-12,14.97,15.23,14.95,15.1,26878278.0,15.126694416355223,61698
2024-01-16,15.04,15.21,14.97,15.06,28291719.0,15.095545024425231,61603
2024-01-17,15.01,15.24,14.98,15.03,31634587.0,15.077221852701708,72479
2024-01-18,14.92,15.04,14.83,15.03,27833052.0,14.933384954672047,61912
2024-01-19,15.26,15.37,15.02,15.27,42823040.0,15.261369728523126,90024
2024-01-22,15.32,15.48,15.24,15.39,36059439.0,15.385051137656914,74825
2024-01-23,15.61,15.8,15.56,15.75,49887523.0,15.736856034748573,110652
2024-01-24,15.17,15.61,15.08,15.28,62549857.0,15.296183754797822,146359
2024-01-25,15.36,15.75,15.29,15.74,46076717.0,15.602180722580671,97512
2024-01-26,15.71,15.92,15.68,15.84,31850457.0,15.82847189336619,68637
2024-01-29,15.78,15.83,15.62,15.8,32214570.0,15.735939876162393,66120
2024-01-30,15.8,16.12,15.74,16.06,41934153.0,15.993380438877901,85772
2024-01-31,16.04,16.33,16.03,16.21,36967490.0,16.220587768249597,89455
2024-02-01,16.57,16.64,16.33,16.53,54630427.0,16.51192619865363,106290
2024-02-02,16.44,16.47,16.26,16.34,27280520.0,16.372670093554845,58830
2024-02-05,16.23,16.37,16.11,16.24,22786406.0,16.24440789149018,51560
2024-02-06,16.17,16.28,16.08,16.13,18319439.0,16.14912739852785,43489
2024-02-07,16.12,16.14,15.85,15.88,25576251.0,15.929249337845555,57211
2024-02-08,15.85,15.85,15.34,15.41,54586829.0,15.479415472033043,94908
2024-02-09,15.38,15.46,15.18,15.43,36421546.0,15.33557857400338,79196
2024-02-12,15.43,15.63,15.35,15.59,25598805.0,15.52888803568655,64698
2024-02-13,15.59,15.76,15.35,15.48,23940688.0,15.452846873033925,50470
2024-02-14,15.55,15.66,15.43,15.49,17243651.0,15.522474925583316,39374
2024-02-15,15.52,15.78,15.52,15.66,21045230.0,15.677305726647095,42251
2024-02-16,15.53,15.64,15.35,15.55,23091454.0,15.542630414479193,45027
2024-02-20,15.47,15.69,15.46,15.49,21034500.0,15.569199013478302,48723
2024-02-21,15.5,15.58,15.43,15.57,18000208.0,15.519726449824791,44193
2024-02-22,15.36,15.36,15.04,15.2,48976297.0,15.202735579007829,105194
2024-02-23,15.24,15.45,15.15,15.39,26206497.0,15.357566380071608,57725
2024-02-26,15.39,15.42,15.13,15.21,20714148.0,15.233884970937822,42117
2024-02-27,15.22,15.44,15.15,15.42,23699224.0,15.311758450762799,56860
2024-02-28,15.41,15.61,15.4,15.54,27781546.0,15.556372793271843,59808
2024-02-29,15.59,15.68,15.49,15.51,27218980.0,15.567366696305957,56850
2024-03-01,15.46,15.62,15.4,15.56,22341098.0,15.55270815892714,47102
2024-03-04,15.46,15.57,15.31,15.39,25552356.0,15.421697481103944,66523
2024-03-05,15.6,15.9,15.57,15.73,34760761.0,15.779915488298839,75240
2024-03-06,15.67,15.78,15.59,15.74,26110297.0,15.708455118577096,56930
2024-03-07,15.75,15.85,15.58,15.62,21155458.0,15.677305726647106,43378
2024-03-08,15.63,15.87,15.55,15.76,26506276.0,15.747849937782675,63710
2024-03-11,15.78,15.98,15.78,15.88,24216466.0,15.869699029744107,60082
2024-03-12,15.85,15.89,15.73,15.76,21735402.0,15.799154818608537,49004
2024-03-13,15.82,15.98,15.69,15.75,22007784.0,15.801903294367063,55515
2024-03-14,15.71,15.73,15.42,15.58,24780169.0,15.521558766997149,58121
2024-03-15,15.47,15.7,15.46,15.62,31653155.0,15.599432246822122,68837
2024-03-18,15.67,15.87,15.51,15.85,25385511.0,15.731359083231496,53791
2024-03-19,15.85,15.87,15.71,15.73,16489412.0,15.78541243981589,37546
2024-03-20,15.68,15.86,15.65,15.77,22728248.0,15.75334688929972,42602
2024-03-21,15.75,15.82,15.63,15.72,21704007.0,15.735939876162377,50825
2024-03-22,15.75,15.76,15.56,15.56,20307897.0,15.618671577131826,43875
2024-03-25,15.61,15.69,15.54,15.68,17732417.0,15.614090784200949,41304
2024-03-26,15.69,15.83,15.61,15.74,21452809.0,15.763424633747665,44173
2024-03-27,15.84,16.12,15.84,16.08,29425464.0,16.019032879290826,59116
2024-03-28,16.08,16.22,16.05,16.12,19410219.0,16.135385019735203,46051
2024-04-01,15.75,16.07,15.71,16.03,24777217.0,15.913674641880565,57199
2024-04-02,16.01,16.22,16.01,16.05,24224309.0,16.095990200529624,49754
2024-04-03,16.09,16.23,16.02,16.13,23582759.0,16.08774477325404,52399
2024-04-04,16.14,16.38,16.09,16.1,23357930.0,16.22333624400811,54679
2024-04-05,16.05,16.07,15.83,15.96,23431075.0,15.981470377257594,48691
2024-04-08,15.94,16.0,15.77,15.8,22268057.0,15.899642800697672,41395
2024-04-09,15.83,15.9,15.65,15.74,25266354.0,15.740883812819193,48629
2024-04-10,15.62,15.63,15.37,15.58,32538051.0,15.50344368432059,69956
2024-04-11,15.52,15.55,15.29,15.29,32320305.0,15.355392780668517,60037
2024-04-12,15.28,15.33,15.13,15.19,25026944.0,15.227826907710444,50325
2024-04-15,15.33,15.4,15.02,15.12,29322186.0,15.16730295338727,58297
2024-04-16,15.1,15.11,14.84,14.98,31051974.0,14.94289875351212,64935
2024-04-17,15.0,15.13,14.95,15.01,21967771.0,15.019252049735199,56840
2024-04-18,15.0,15.22,14.98,15.21,24634941.0,15.094674208199462,50315
2024-04-19,15.21,15.39,15.14,15.37,38537467.0,15.262279004786711,69196
2024-04-22,15.54,15.58,15.06,15.19,44410788.0,15.198030499428269,87744
2024-04-23,15.25,15.39,15.17,15.36,36944144.0,15.321871821351074,72895
2024-04-24,15.74,15.86,15.25,15.65,61630925.0,15.555587398814408,135165
2024-04-25,15.55,15.83,15.36,15.44,34587934.0,15.473647276038418,71596
2024-04-26,15.34,15.72,15.26,15.6,26489460.0,15.601213148996495,50421
2024-04-29,15.82,16.09,15.82,15.85,33183983.0,15.957838910623812,66504
2024-04-30,15.75,15.81,15.64,15.73,22965876.0,15.746470639372111,51273
2024-05-01,15.67,15.92,15.62,15.75,32937802.0,15.80606345593647,61353
2024-05-02,15.82,15.82,15.58,15.66,24032183.0,15.668255067631396,43233
2024-05-03,15.66,15.75,15.58,15.69,19879873.0,15.658012552284392,47433
2024-05-06,15.78,15.87,15.75,15.82,19118296.0,15.795820940589461,38376
2024-05-07,15.89,16.02,15.83,15.9,21860728.0,15.911282022682895,47501
2024-05-08,15.86,16.02,15.83,15.93,17905770.0,15.938285017688619,37287
2024-05-09,15.93,16.01,15.87,16.0,14859251.0,15.96156346165907,36813
2024-05-10,16.02,16.03,15.94,15.99,13991130.0,15.996015558735332,26143
2024-05-13,16.0,16.15,15.97,16.07,17863256.0,16.054677237540872,36285
2024-05-14,16.09,16.15,16.03,16.11,15625090.0,16.085404783581872,32675
2024-05-15,16.16,16.24,16.0,16.14,22178440.0,16.107752089793504,39775
2024-05-16,16.12,16.17,15.97,16.11,18444387.0,16.08074909478778,43995
2024-05-17,16.22,16.22,16.07,16.2,19272321.0,16.15151556445795,34484
2024-05-20,16.18,16.35,16.16,16.31,21258436.0,16.266045508792565,37608
2024-05-21,16.3,16.31,15.96,16.08,23008174.0,16.084473645823046,45867
2024-05-22,16.01,16.3,16.0,16.29,20965901.0,16.228799998439843,41813
2024-05-23,16.2,16.3,16.13,16.27,24728546.0,16.22507544740457,43077
2024-05-24,16.29,16.4,16.22,16.29,18115465.0,16.282805988451287,36048
2024-05-28,16.26,16.32,16.02,16.08,19084753.0,16.110545503069947,36908
2024-05-29,16.06,16.12,15.93,15.94,17738213.0,15.990428732182417,40897
2024-05-30,15.99,16.43,15.98,16.41,27125486.0,16.253940717927925,52255
2024-05-31,16.32,17.01,16.27,16.97,45185556.0,16.764204209760226,89934
2024-06-03,16.88,17.07,16.72,16.77,31024742.0,16.872216189783124,64290
2024-06-04,16.73,17.1,16.67,17.09,24147769.0,16.954156312559117,50746
2024-06-05,17.05,17.06,16.91,17.04,23132483.0,16.982090445323667,51826
2024-06-06,17.03,17.18,16.97,17.02,16994793.0,17.06030601706438,40414
2024-06-07,16.97,16.97,16.73,16.85,29513420.0,16.874078465300766,51717
2024-06-10,16.76,16.8,16.53,16.63,26692448.0,16.634776061284526,61078
2024-06-11,16.61,16.71,16.5,16.63,18814247.0,16.608704204037622,44896
2024-06-12,16.75,16.8,16.36,16.4,28443741.0,16.49696767297945,69872
2024-06-13,16.34,16.46,16.22,16.45,23953949.0,16.360090422433203,55193
2024-06-14,16.38,16.53,16.29,16.43,17215621.0,16.36474611122729,41014
2024-06-17,16.35,16.48,16.29,16.45,21622644.0,16.40850958589174,52607
2024-06-18,16.65,16.95,16.63,16.81,25882023.0,16.765135347519056,61486
2024-06-20,16.7,16.91,16.67,16.86,21509217.0,16.855455710124417,48275
2024-06-21,16.92,17.19,16.83,17.13,34896434.0,17.026785057746938,65383
2024-06-24,17.15,17.41,17.13,17.37,28421538.0,17.34523417126271,56991
2024-06-25,17.36,17.44,17.25,17.4,26032604.0,17.37409944178607,53321
2024-06-26,17.36,17.51,17.33,17.47,20808872.0,17.433692258350423,44855
2024-06-27,17.49,17.5,17.33,17.46,16670945.0,17.407620401103518,38383
2024-06-28,17.51,17.81,17.49,17.79,29755721.0,17.715826999272295,61171
2024-07-01,17.92,17.99,17.53,17.67,25230026.0,17.67951262667839,55445
2024-07-02,17.67,17.69,17.39,17.52,21824685.0,17.496078488191234,45716
2024-07-03,17.58,17.62,17.38,17.39,12088504.0,17.48769824836188,23900
2024-07-05,17.41,17.51,17.36,17.48,15550118.0,17.443003635938616,32369
2024-07-08,17.54,17.6,17.4,17.51,16626543.0,17.481180284050154,32703
2024-07-09,17.52,17.68,17.41,17.51,22641606.0,17.565875488746627,42444
2024-07-10,17.55,17.72,17.45,17.71,23858415.0,17.62116312849007,55775
2024-07-11,17.67,17.83,17.6,17.82,19115985.0,17.727012968682665,45756
2024-07-12,17.69,17.81,17.56,17.78,29678958.0,17.726067880823802,64514
2024-07-15,17.81,17.83,17.51,17.56,19486797.0,17.603206459171684,44857
2024-07-16,17.58,17.82,17.54,17.81,18632119.0,17.746859813718775,46261
2024-07-17,17.86,18.14,17.81,18.11,23497585.0,18.039837049966128,57705
2024-07-18,18.05,18.27,17.95,18.1,27159988.0,18.13529092371123,61032
2024-07-19,18.07,18.18,17.94,18.07,22649819.0,18.085201267191525,53058
2024-07-22,17.67,17.74,17.3,17.53,33230013.0,17.528544518321556,78217
2024-07-23,17.55,17.59,17.14,17.21,50290007.0,17.365989406597215,92105
2024-07-24,17.88,18.17,17.73,18.11,44461873.0,18.01242950205912,115070
2024-07-25,18.1,18.66,18.05,18.14,44212655.0,18.332814286213488,100953
2024-07-26,18.11,18.24,17.85,17.97,24940454.0,17.993527744881874,68492
2024-07-29,17.94,17.98,17.79,17.86,20280801.0,17.863105620358855,48907
2024-07-30,17.91,17.99,17.8,17.94,18538131.0,17.93304212191467,50306
2024-07-31,17.86,18.26,17.84,18.19,26972250.0,18.15986320804166,65933
2024-08-01,18.25,18.55,18.08,18.4,37550752.0,18.34982586767301,69775
2024-08-02,18.56,18.89,18.14,18.31,35906015.0,18.469852025748544,78477
2024-08-05,17.77,18.07,17.62,17.87,36221132.0,17.896183695419044,95542
2024-08-06,17.86,18.24,17.82,18.14,23332762.0,18.123004781546022,44384
2024-08-07,18.15,18.45,18.04,18.19,22825112.0,18.302571474729888,47763
2024-08-08,18.2,18.41,18.16,18.33,20015905.0,18.317692880471686,45035
2024-08-09,18.33,18.52,18.21,18.42,17018750.0,18.4405543021238,32632
2024-08-12,18.47,18.49,18.24,18.36,17647474.0,18.324308495483724,41300
2024-08-13,18.35,18.49,18.3,18.45,17021467.0,18.393299909180683,36453
2024-08-14,18.41,18.58,18.35,18.55,14750611.0,18.522776945844846,35932
2024-08-15,18.48,18.5,17.93,18.04,34643698.0,18.079530740038354,62506
2024-08-16,18.07,18.3,18.03,18.28,17926422.0,18.1816002287955,34474
2024-08-19,18.29,18.44,18.28,18.42,15865318.0,18.38006867915661,30006
2024-08-20,18.39,18.5,18.32,18.42,15193441.0,18.42637798424087,27415
2024-08-21,18.45,18.51,18.35,18.47,16027986.0,18.438664126406078,33071
2024-08-22,18.49,18.5,18.33,18.44,13692095.0,18.405586051345896,27910
2024-08-23,18.47,18.67,18.44,18.65,15432962.0,18.568141163070237,28184
2024-08-26,18.67,18.85,18.62,18.67,17040279.0,18.718410132629362,32100
2024-08-27,18.62,18.71,18.51,18.57,15176073.0,18.58987818382407,30185
2024-08-28,18.6,18.82,18.59,18.73,14214453.0,18.708014166181872,32053
2024-08-29,18.71,18.76,18.54,18.67,15937479.0,18.670210651827375,37227
2024-08-30,18.67,18.82,18.62,18.81,15547596.0,18.725025747641393,28554
2024-09-03,18.84,19.33,18.83,19.31,40291513.0,19.155040723423795,75071
2024-09-04,19.36,19.72,19.14,19.44,48273846.0,19.454633574683186,86032
2024-09-05,19.57,19.69,19.39,19.52,38082949.0,19.493382176896546,66726
2024-09-06,19.52,19.85,19.52,19.82,43768150.0,19.733434493047604,68778
2024-09-09,19.81,20.41,19.77,20.32,48173527.0,20.125645954475516,82780
2024-09-10,20.27,20.66,20.16,20.52,50503487.0,20.4630423200894,88693
2024-09-11,20.43,20.43,20.07,20.27,27626001.0,20.175735610995215,56343
2024-09-12,20.16,20.45,20.01,20.4,27026816.0,20.259848430433966,52702
2024-09-13,20.39,20.48,20.25,20.45,25406770.0,20.414842839287402,60123
2024-09-16,20.64,21.11,20.59,21.05,44319427.0,20.952597830980128,79415
2024-09-17,20.86,20.89,20.52,20.58,23352914.0,20.683247791204337,47608
2024-09-18,20.64,20.79,20.45,20.54,22174639.0,20.612366201789655,46963
2024-09-19,20.46,20.51,20.02,20.19,33321328.0,20.177625786712934,73959
2024-09-20,20.13,20.43,20.06,20.36,34595624.0,20.279695275470075,58696
2024-09-23,20.36,20.41,20.19,20.31,16820958.0,20.27875018761122,37568
2024-09-24,20.21,20.47,20.14,20.4,18279858.0,20.35341212846135,42979
2024-09-25,20.43,20.55,20.34,20.38,18301045.0,20.435634772182386,37459
2024-09-26,20.31,20.57,20.25,20.46,16210544.0,20.463042320089396,37604
2024-09-27,20.53,20.74,20.49,20.7,15451438.0,20.644499188990984,35911
2024-09-30,20.79,20.86,20.47,20.79,16906752.0,20.705929899817043,39980
2024-10-01,20.73,20.93,20.63,20.91,25480450.0,20.808944476433044,48932
2024-10-02,20.84,21.02,20.79,20.97,18101827.0,20.944092040250375,39297
2024-10-03,20.91,21.01,20.76,20.84,14255883.0,20.859034132952758,29395
2024-10-04,20.49,20.77,20.3,20.71,19298475.0,20.635993398261224,42869
2024-10-07,20.7,20.71,20.48,20.58,17782425.0,20.558496193834493,38244
2024-10-08,20.72,20.77,20.53,20.66,16857559.0,20.63977374969667,33149
2024-10-09,20.67,20.79,20.58,20.73,19804663.0,20.69801793983753,40249
2024-10-10,20.68,20.75,20.3,20.31,22603999.0,20.425694490632555,53161
2024-10-11,20.39,20.53,20.31,20.46,19000560.0,20.43622369253503,37849
2024-10-14,20.45,20.49,20.34,20.35,27542753.0,20.42760889097846,42293
2024-10-15,20.47,20.69,20.32,20.59,29419704.0,20.57597491778609,54249
2024-10-16,20.6,20.83,20.56,20.78,17121727.0,20.712854542518297,34871
2024-10-17,20.64,20.84,20.61,20.8,16738729.0,20.783687355316776,33698
2024-10-18,20.8,21.12,20.7,20.91,22040997.0,20.925352980913743,40194
2024-10-21,20.94,21.03,20.72,20.73,19683324.0,20.820060961888974,41929
2024-10-22,20.34,20.69,20.15,20.58,33612589.0,20.52524330861962,62935
2024-10-23,20.33,21.61,20.15,21.53,58313406.0,21.324505453034924,103938
2024-10-24,21.44,21.52,21.12,21.25,27173534.0,21.2182562338372,57076
2024-10-25,21.35,21.45,20.88,20.9,17470838.0,21.09094861083452,35176
2024-10-28,20.98,21.2,20.89,21.16,20574056.0,21.12062181619605,36062
2024-10-29,21.06,21.4,20.98,21.23,23624998.0,21.26707344265778,46325
2024-10-30,21.18,21.31,20.96,21.08,24451127.0,21.077547808413193,44242
2024-10-31,21.12,21.63,21.09,21.58,44098601.0,21.455641876729416,73054
2024-11-01,21.57,21.76,21.13,21.17,28882425.0,21.425968671367887,65316
2024-11-04,21.19,21.3,20.86,20.98,16933918.0,21.00001459440404,38428
2024-11-05,20.96,21.22,20.9,21.11,13555710.0,21.11583581533129,33100
2024-11-06,21.16,21.43,21.03,21.36,25235165.0,21.291960647154543,51432
2024-11-07,21.43,21.43,21.02,21.1,20746667.0,21.168481824843678,47674
2024-11-08,21.11,21.47,21.11,21.38,19351964.0,21.385766264103886,42677
2024-11-11,21.36,21.52,21.29,21.36,17472787.0,21.420225470330166,40413
2024-11-12,21.26,21.34,20.86,21.2,25106832.0,21.102435012909954,48548
2024-11-13,21.22,21.43,21.12,21.35,21928094.0,21.269945043176634,42271
2024-11-14,21.35,21.5,21.27,21.3,15529797.0,21.358007459088256,34665
2024-11-15,21.29,21.78,21.24,21.71,28099210.0,21.581035099386185,52926
2024-11-18,21.81,22.21,21.81,22.01,22182398.0,22.021347178944318,48205
2024-11-19,21.9,21.94,21.71,21.76,16862030.0,21.79927673881935,37135
2024-11-20,21.82,21.92,21.76,21.85,12430570.0,21.848093947639924,29587
2024-11-21,21.82,22.16,21.76,22.0,16158494.0,22.009860776868894,36595
2024-11-22,22.06,22.29,21.95,22.19,26287491.0,22.195557610421673,48049
2024-11-25,22.16,22.32,21.97,22.11,25363021.0,22.117067196239567,53904
2024-11-26,21.96,22.12,21.89,22.1,20141458.0,22.044319983095182,43442
2024-11-27,22.21,22.38,22.03,22.27,24513431.0,22.246289219588157,50818
2024-11-29,22.27,22.31,22.03,22.17,11974282.0,22.1467404016011,32990
2024-12-02,22.16,22.17,21.67,21.73,27875119.0,21.827035543834977,69694
2024-12-03,22.41,23.0,22.38,22.72,47533021.0,22.641612891017527,100791
2024-12-04,22.66,22.81,22.37,22.52,29778859.0,22.546850073895232,69891
2024-12-05,22.6,22.87,22.57,22.81,21885219.0,22.796679319035825,52030
2024-12-06,22.81,22.88,22.55,22.86,22145041.0,22.764134513155444,54679
2024-12-09,22.88,22.96,22.34,22.37,27321154.0,22.61481128617486,60915
2024-12-10,22.41,22.65,22.12,22.5,23571721.0,22.428157252449132,56661
